"date","gdp.per.capita","inequality","cars","rentalcars","taxis","buses","motorbikes","other","bus.u","mrt.u","top","bottom","population","lrt.u","gdp.per.capita.ch","inequality.ch","cars.ch","buses.ch","motorbikes.ch","bus.u.ch","mrt.u.ch","top.ch","bottom.ch","population.ch","lrt.u.ch","lcars","lgdp","ltop","lbottom"
2005,49715.385,5.3671244459812,432827,7756,22383,13494,139434,139098,2779,1321,170744.33,31813,3467814,69,10.8140697215258,1.68029228017782,12.9780933890418,9.51000042118737,11.8453466500082,7.9298464297425,7.18614430452233,12.0479225704395,10.3676302902617,15.0590349822263,4.23410650459726,412015,10.7433375319006,11.990390997341,10.243741202024
2006,53355.039,5.93819205693614,465482,9235,23334,14120,142736,144466,2833,1408,185295.82,31204.08,3525894,74,10.8847237040034,1.78140471952619,13.0508287068528,9.55534751104723,11.8687520491536,7.94909149983052,7.24992553671799,12.129708854005,10.3483041344788,15.0756445790944,4.30406509320417,432827,10.8140697215258,12.0479225704395,10.3676302902617
2007,59113.86,6.12291118834613,505987,11054,24446,14530,144340,150979,2932,1527,208443.98,34043.28,3583082,79,10.9872206936657,1.81203766779257,13.13426625624,9.58397075656433,11.8799269066263,7.98344006300654,7.33106030521863,12.2474256030646,10.435387935272,15.0917338818751,4.36944785246702,465482,10.8847237040034,12.129708854005,10.3483041344788
2008,56201.311,6.9748530100619,540455,12391,24300,15327,146120,156089,3087,1698,202059.19,28969.67,3642659,88,10.9366953630118,1.94231125365912,13.2001666563512,9.63737125799891,11.8921834809092,8.03495502450216,7.43720636687129,12.2163159532634,10.2740046996043,15.1082244674372,4.47733681447821,505987,10.9872206936657,12.2474256030646,10.435387935272
2009,56111.058,6.37712724651279,566608,12763,24702,16023,147215,158207,3047,1782,192490.78,30184.56,3733876,90,10.9350881843862,1.85271772111129,13.247422985587,9.68178046900788,11.8996493822592,8.02191277898571,7.48549160803075,12.167803535459,10.3150858143477,15.1329573941767,4.49980967033027,540455,10.9366953630118,12.2163159532634,10.2740046996043
2010,63497.758,7.0911654769455,584399,13347,26073,16309,148160,157541,3199,2069,210202,29642.8,3771721,100,11.0587598771709,1.95884971024271,13.2783392477005,9.69947238165692,11.90604804988,8.07059353994952,7.63482067774554,12.2558242521276,10.2969745418849,15.1430419539341,4.60517018598809,566608,10.9350881843862,12.167803535459,10.3150858143477
2011,66816.039,7.27545825702717,592361,13919,27051,17046,146559,159768,3385,2295,216514,29759.5,3789251,111,11.1096984354946,1.98450680173038,13.2918715253126,9.74367085108224,11.8951833567406,8.12710918534638,7.73848812249465,12.285410489461,10.3009036877306,15.1476789321983,4.70953020131233,584399,11.0587598771709,12.2558242521276,10.2969745418849
2012,68204.574,7.45831129795623,605149,14862,28210,17162,144110,160417,3481,2525,222826,29876.2,3818205,124,11.1302669090313,2.00932902102448,13.3132299876825,9.75045291636707,11.8783321758324,8.15507488781144,7.83399634170946,12.3141464768156,10.3048174557911,15.1552909748594,4.82028156560504,592361,11.1096984354946,12.285410489461,10.3009036877306
2013,70047.47,7.63974140546596,607292,16396,27695,17509,144934,160344,3601,2623,229138,29992.9,3844751,132,11.1569284340537,2.03336375515349,13.3167650087378,9.77047031342632,11.8840337453665,8.18896686364888,7.87207397986687,12.3420797211211,10.3087159659677,15.1622193993971,4.88280192258637,605149,11.1302669090313,12.3141464768156,10.3048174557911
2014,70966.89,7.81976512474427,600176,18847,28736,17554,145026,161698,3751,2762,235450,30109.6,3870739,137,11.1699687092259,2.05665451890721,13.3049782245178,9.77303712315206,11.8846683156734,8.22977775008189,7.92371033396924,12.3692538556717,10.3125993367645,15.1689560028485,4.91998092582813,607292,11.1569284340537,12.3420797211211,10.3087159659677
